[INF] 2022-11-10 21:10:22	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:22	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:22	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:26	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:26	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:26	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:26	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:26	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:30	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:30	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:30	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:30	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:30	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:34	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:34	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:34	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:34	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:34	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:38	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:38	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:38	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:38	 UPDATED DATA ON THIS NODE!
